epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,1705.72,1.06929,0.79627,0.97587,0.75223,0.74553,0.73567,0.43907,1.29498,1.01604,1.10188,0.000775822,0.000775822,0.000775822
29,1766.35,1.05486,0.75616,0.98213,0.72312,0.75187,0.74649,0.45116,1.28165,0.9994,1.08647,0.000742815,0.000742815,0.000742815
30,1827.28,1.05161,0.74828,0.95724,0.67385,0.65537,0.6899,0.42119,1.26356,1.10163,1.08581,0.000709809,0.000709809,0.000709809
31,1887.94,1.04254,0.75735,0.95853,0.70417,0.68734,0.72732,0.44868,1.19771,1.01937,1.05782,0.000676802,0.000676802,0.000676802
32,1948.66,1.00366,0.74994,0.96542,0.67558,0.76924,0.71191,0.44905,1.21459,0.99019,1.06139,0.000643795,0.000643795,0.000643795
33,2009.32,1.03876,0.74474,0.95324,0.75682,0.78434,0.75796,0.46653,1.25167,0.93594,1.078,0.000610789,0.000610789,0.000610789
34,2069.89,0.98611,0.69449,0.95049,0.68409,0.77353,0.7504,0.46625,1.22029,0.97356,1.06509,0.000577782,0.000577782,0.000577782
35,2130.32,1.01191,0.70761,0.95512,0.69796,0.77598,0.7551,0.46612,1.23656,0.92927,1.07884,0.000544776,0.000544776,0.000544776
36,2190.69,0.97232,0.66603,0.94993,0.73398,0.71203,0.74981,0.46381,1.2173,0.99352,1.06958,0.000511769,0.000511769,0.000511769
37,2251.35,0.99089,0.689,0.95377,0.70517,0.80385,0.75321,0.47678,1.21454,0.89056,1.05739,0.000478762,0.000478762,0.000478762
38,2312.29,1.0076,0.69015,0.95341,0.68984,0.78344,0.76548,0.47261,1.22898,0.90695,1.0715,0.000445756,0.000445756,0.000445756
39,2373.02,0.90488,0.62388,0.93632,0.72208,0.75373,0.7568,0.47924,1.21615,0.90067,1.07303,0.000412749,0.000412749,0.000412749
40,2433.71,0.97452,0.64006,0.93497,0.70523,0.76407,0.76239,0.47526,1.24449,0.89566,1.07469,0.000379743,0.000379743,0.000379743
41,2494.11,0.9263,0.61411,0.92954,0.72861,0.7904,0.77271,0.48075,1.20834,0.89308,1.07506,0.000346736,0.000346736,0.000346736
42,2554.36,0.90407,0.59118,0.92122,0.70448,0.75535,0.75764,0.47107,1.2199,0.90505,1.07052,0.000313729,0.000313729,0.000313729
43,2614.61,0.8835,0.5775,0.92487,0.69608,0.78086,0.7575,0.4799,1.18501,0.90178,1.06368,0.000280723,0.000280723,0.000280723
44,2674.82,0.88886,0.58785,0.93109,0.77413,0.71209,0.75953,0.4762,1.21234,0.89686,1.07225,0.000247716,0.000247716,0.000247716
45,2734.84,0.86294,0.54878,0.91385,0.77764,0.70832,0.76673,0.48275,1.20664,0.86658,1.07463,0.00021471,0.00021471,0.00021471
46,2794.86,0.86739,0.55141,0.92746,0.76989,0.73976,0.7778,0.4914,1.20509,0.87212,1.07954,0.000181703,0.000181703,0.000181703
47,2854.66,0.86115,0.53509,0.91345,0.70674,0.79298,0.77349,0.48772,1.21684,0.8716,1.07622,0.000148696,0.000148696,0.000148696
48,2914.93,0.83961,0.51671,0.90359,0.72723,0.77336,0.77447,0.48939,1.19926,0.8767,1.06934,0.00011569,0.00011569,0.00011569
49,2975.01,0.85135,0.52819,0.91617,0.72683,0.77849,0.77535,0.48936,1.21083,0.88062,1.07405,8.26832e-05,8.26832e-05,8.26832e-05
50,3035.24,0.83166,0.52293,0.89864,0.73135,0.7748,0.77203,0.48863,1.21824,0.88267,1.07834,4.96766e-05,4.96766e-05,4.96766e-05
