epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.3539,1.4164,2.95541,1.13102,0.96005,0.05618,0.25419,0.15658,1.32303,3.17192,1.04905,0.000545564,0.000545564,0.000545564
2,127.846,1.39881,1.95382,1.10013,0.73315,0.40631,0.54896,0.32116,1.32885,2.46765,1.1046,0.00107943,0.00107943,0.00107943
3,189.265,1.40731,1.78073,1.10246,0.53665,0.53604,0.52821,0.30543,1.36943,2.11347,1.13628,0.00159128,0.00159128,0.00159128
4,250.221,1.35781,1.62912,1.11078,0.59692,0.53232,0.56586,0.32593,1.40094,1.98688,1.15908,0.00156798,0.00156798,0.00156798
5,311.342,1.32871,1.51771,1.08023,0.63396,0.5944,0.61153,0.32453,1.36681,1.67953,1.14921,0.00153497,0.00153497,0.00153497
6,371.979,1.30501,1.45408,1.06397,0.64004,0.62261,0.62252,0.36256,1.30386,1.57371,1.13396,0.00150197,0.00150197,0.00150197
7,432.838,1.32216,1.34979,1.06532,0.62666,0.66317,0.62588,0.36233,1.35757,1.52408,1.14864,0.00146896,0.00146896,0.00146896
8,493.525,1.30774,1.35088,1.07824,0.66041,0.61384,0.63469,0.36294,1.28077,1.51227,1.09239,0.00143595,0.00143595,0.00143595
9,554.248,1.28092,1.31321,1.06417,0.57211,0.69014,0.64032,0.38399,1.26422,1.3853,1.09648,0.00140295,0.00140295,0.00140295
10,614.989,1.26922,1.27904,1.04175,0.66681,0.63607,0.67742,0.39705,1.27318,1.35723,1.08174,0.00136994,0.00136994,0.00136994
11,675.361,1.24797,1.21244,1.04631,0.61139,0.66751,0.68553,0.38734,1.31778,1.41179,1.11316,0.00133693,0.00133693,0.00133693
12,735.571,1.20471,1.14556,1.02811,0.6278,0.65997,0.69326,0.39394,1.33056,1.28885,1.10989,0.00130393,0.00130393,0.00130393
13,796.465,1.23125,1.11927,1.03234,0.55316,0.6468,0.66386,0.38344,1.30083,1.42058,1.10053,0.00127092,0.00127092,0.00127092
14,857.018,1.20785,1.07984,1.01668,0.72453,0.65753,0.68765,0.41744,1.27244,1.22975,1.09702,0.00123791,0.00123791,0.00123791
15,917.651,1.25585,1.06662,1.02657,0.67008,0.67217,0.67098,0.39926,1.27829,1.18752,1.09191,0.00120491,0.00120491,0.00120491
16,978.137,1.15888,1.01074,1.01144,0.67074,0.68526,0.70815,0.41681,1.28733,1.15726,1.08441,0.0011719,0.0011719,0.0011719
17,1038.61,1.16592,0.95991,1.01595,0.64671,0.72866,0.69693,0.41869,1.2866,1.14938,1.08297,0.00113889,0.00113889,0.00113889
18,1099.1,1.18783,1.01331,1.02145,0.71584,0.67922,0.72446,0.43285,1.26109,1.08864,1.08101,0.00110589,0.00110589,0.00110589
19,1159.74,1.13531,0.92725,1.00087,0.7129,0.71847,0.71197,0.43816,1.20053,1.08783,1.07055,0.00107288,0.00107288,0.00107288
20,1220.27,1.11136,0.89725,0.98404,0.76143,0.72779,0.75459,0.46262,1.21192,1.01396,1.06553,0.00103987,0.00103987,0.00103987
21,1281.06,1.12117,0.88027,1.00393,0.72437,0.72855,0.72099,0.43634,1.2419,1.0853,1.08147,0.00100687,0.00100687,0.00100687
22,1341.55,1.09881,0.86921,1.00137,0.72919,0.73598,0.72659,0.4482,1.22134,1.0423,1.07015,0.000973861,0.000973861,0.000973861
23,1402.15,1.07809,0.83651,0.97945,0.70537,0.73289,0.72934,0.45638,1.22144,1.06714,1.075,0.000940855,0.000940855,0.000940855
24,1462.81,1.07656,0.79858,0.98187,0.68907,0.72679,0.72641,0.4489,1.24976,1.01394,1.08185,0.000907848,0.000907848,0.000907848
25,1523.77,1.09091,0.7991,0.979,0.71295,0.77405,0.74329,0.45057,1.27047,1.01753,1.08884,0.000874842,0.000874842,0.000874842
26,1584.24,1.06416,0.80288,0.97922,0.73967,0.76393,0.74685,0.45805,1.232,0.95853,1.07531,0.000841835,0.000841835,0.000841835
27,1644.74,1.04152,0.77739,0.96785,0.75224,0.72811,0.73024,0.44674,1.22642,0.99383,1.08102,0.000808828,0.000808828,0.000808828
